ISBN,Book_Title,Book_Author,Year_Of_Publication,Publisher
0552998931,Chocolat,Joanne Harris,2001,Black Swan
0140430784,Pickwick Club: Posthumous Papers (Penguin English Library),Charles Dickens,1973,Penguin Books
8420447595,La espada y la rosa,Antonio Martinez Menchen,1995,Santillana USA Pub Co Inc
8423310353,El Camino (Coleccion Destinolibro),Miguel Delibes,1991,Continental Book Company
1853260320,Mansfield Park (Wordsworth Collection),Jane Austen,1998,Wordsworth Editions Ltd
0385334303,The Naked Ape: A Zoologist's Study of the Human Animal,Desmond Morris,1999,Delta
0553212540,The Picture of Dorian Gray (Bantam Classics),OSCAR WILDE,1982,Bantam
0375724931,The Bridegroom: Stories (Vintage International (Paperback)),Ha Jin,2001,Vintage Books USA
0451171357,The Agony and the Ecstasy: A Biographical Novel of Michelangelo,Irving Stone,1996,Signet Book
0140244662,Queens,"""Pickles""",1995,Penguin Books Ltd
0804112754,Hard Evidence,John T. Lescroart,1999,Fawcett Books
0515118907,The Man Who Cast Two Shadows (Kathleen Mallory Novels (Paperback)),Carol O'Connell,1996,Jove Books
059043053X,Around the World in Eighty Days,Jules Verne,1996,Scholastic
0807059099,Gandhi An Autobiography:  The Story of My Experiments With Truth,Mohandas Karamchand Gandhi,1993,Beacon Press
0060234865,The Voyage of the Dawn Treader (rpkg) (Narnia),C. S. Lewis,1994,HarperCollins
0451179900,Key Witness,J. F. Freedman,1998,Signet Book
0451165594,The I-5 Killer (Signet True Crime S.),Ann Rule,1989,Signet Book
042517638X,Godplayer,Robin Cook,2002,Berkley Publishing Group
0385292244,Shogun,James Clavell,1983,Delacorte Press
0312964064,The Girl With the Botticelli Eyes,Herbert Lieberman,1998,St Martins Pr (Mm)
0553268953,Down the Garden Path,DOROTHY CANNELL,1989,Crimeline
0679729518,"The Sorrows of Young Werther: And, Novella (Vintage Classics)",Johann Wolfgang Von Goethe,1990,Vintage Books USA
0440213320,Deadlock (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,1992,Dell
0515116475,Mallory's Oracle (Kathleen Mallory Novels (Paperback)),Carol O'Connell,1995,Jove Books
0892966947,Free Love (Olivia Brown Mysteries),Annette Meyers,1999,Mysterious Press
0671891677,Pretty Boy Floyd,Larry McMurtry,1995,Pocket
055329122X,Grim Pickings,Jennifer Rowe,1991,Bantam Books
0449123782,Free Fall in Crimson,John D. MacDonald,1981,Fawcett Books
0449001946,Murder at the Watergate (Capital Crime Mysteries),Margaret Truman,1999,Fawcett Books
0446606022,Bad Chili,Joe R. Lansdale,1998,Warner Books
8401375924,"Afrodita - Cuentos, Recetas y Otros Afrod.",Isabel Allende,1997,"Plaza &amp; Janes Editores, S.A."
0393321983,Strangers on a Train,Patricia Highsmith,2001,W.W. Norton &amp; Company
055357910X,Meg,Steve Alten,1998,Bantam Books
0156837501,Solaris,Stanislaw Lem,1987,Harcourt
950072040X,de Amor y de Sombra - Bolsillo,Isabel Allende,2001,Sudamericana
0316358495,Tintin and the Picaros (The Adventures of Tintin),Herge,1978,"Little, Brown"
0316358428,The Castafiore Emerald (The Adventures of Tintin),Herge,1975,"Little, Brown"
0316358509,The Broken Ear (The Adventures of Tintin),Herge,1978,"Little, Brown"
2203001178,L'Affaire Tournesol / Calculus Affair (Tintin),Herge,1999,Casterman
0316358460,Explorers on the Moon (The Adventures of Tintin),Herge,1976,"Little, Brown"
0316358312,King Ottokar's Sceptre (The Adventures of Tintin),Herge,1974,"Little, Brown"
0316358398,Tintin in Tibet (The Adventures of Tintin),Herge,1975,"Little, Brown"
0316358347,Red Rackham's Treasure (The Adventures of Tintin),Herge,1974,"Little, Brown"
0316358517,The Shooting Star (The Adventures of Tintin),Herge,1978,"Little, Brown"
2203001143,Tintin Au Pays de L'Or Noir / Land of Black Gold (Tintin),Herge,1999,Distribooks Intl
0316358436,Prisoners of the Sun (The Adventures of Tintin),Herge,1975,"Little, Brown"
0316358401,The Seven Crystal Balls (The Adventures of Tintin),Herge,1975,"Little, Brown"
0586054472,XPD,Len Deighton,1982,HarperCollins
1853260827,Bleak House (Wordsworth Classics),Charles Dickens,1997,NTC/Contemporary Publishing Company
0451528565,Far from the Madding Crowd,Thomas Hardy,2002,Signet Classics
0451147960,The Modigliani Scandal,Ken Follett,1985,Signet Book
0743219570,Cover Her Face,P.D. James,2001,Touchstone
0679642579,The Hunchback of Notre-Dame (Modern Library Classics),VICTOR HUGO,2002,Modern Library
8423312615,El Principe Destronado (ColecciÃ³n Destinolibro),Miguel Delibes,2000,Schoenhofs Foreign Books
846630259X,La hermandad,John Grisham,2001,Punto de Lectura
0425098559,Why Didn't They Ask Evans?,Agatha Christie,1992,Berkley Publishing Group
0345383249,"Eaters of the Dead: The Manuscript of Ibn Fadlan, Relating His Experiences With the Northmen in A.D. 922",Michael Crichton,1993,Ballantine Books
1853262447,Old Curiosity Shop (Wordsworth Collection),Charles Dickens,1998,Wordsworth Editions Ltd
0520204956,Geisha,Liza Crihfield Dalby,1998,University of California Press
0140124195,The British Museum Is Falling Down (King Penguin),David Lodge,1989,Penguin Books
0743453255,Forrest Gump,Winston Groom,2002,Washington Square Press
006018552X,To Cut a Long Story Short,Jeffrey Archer,2000,HarperCollins Publishers
0671040677,Switcheroo,Margot Batrae,2000,Simon Spotlight Entertainment
0671017152,"Night of the Living Rerun (Buffy the Vampire Slayer, Book 4)",Arthur Byron Cover,1998,Simon Spotlight Entertainment
0671021338,"The Angel Chronicles, Volume 1",Nancy Holder,1998,Simon Spotlight Entertainment
0806523794,"The Minority Report and Other Classic Stories (Dick, Philip K. Short Stories.)",Philip K. Dick,2002,Citadel Press
0140430164,Mansfield Park (Penguin Classics),Jane Austen,1988,Penguin USA
0812505182,"The Magic of Recluce (Recluce series, Book 1)",L. E. Modesitt Jr.,1992,Tor Fantasy
0345380258,Poseidon's Gold: A Marcus Didius Falco Mystery,Lindsey Davis,1995,Fawcett Books
0060958707,Why We Run: A Natural History,Bernd Heinrich,2002,Ecco
0575400951,About a Boy Uk,Nick Hornby,1998,Trafalgar Square
0451185196,Black Cross,Greg Iles,1995,Signet Book
0140186557,"Winesburg, Ohio (20th Century Classics)",Sherwood Anderson,1992,Penguin Books
0451525663,Summer (Signet Classic),Edith Wharton,1993,Signet Classics
0684803348,SHORT STORIES,Ernest Hemingway,1995,Scribner
0140430180,The Adventures of Huckleberry Finn (English Library),Mark Twain,1970,Penguin Books Ltd
3453150538,Weit wie das Meer.,Nicholas Sparks,1999,Heyne
0380729741,River Angel : A Novel (Mysteries &amp; Horror),A. Manette Ansay,1999,Perennial
0807282324,Harry Potter and the Prisoner of Azkaban (Book 3 Audio CD),J.K. ROWLING,2000,Listening Library
0807281948,Harry Potter and the Chamber of Secrets (Book 2 Audio CD),J. K. Rowling,1999,Listening Library
0807281956,Harry Potter and the Sorcerer's Stone (Book 1 Audio CD),J. K. Rowling,1999,Listening Library
0451208501,Bubbles in Trouble (Bubbles Books),Sarah Strohmeyer,2003,Signet Book
0451527070,"Walden Or, Life in the Woods and ""on the Duty of Civil Disobedience"": And, on the Duty of Civil Disobedience (Signet Classics (Paperback))",Henry David Thoreau,1999,Signet Classics
2070416801,Balzac Et LA Petite Tailleuse Chino,Daj Sijie,2002,Gallimard Jeunesse
225300314X,Le Chien Des Baskerville,Arthur Conan Doyle,0,Livre de Poche
2253147923,Comment voyager avec un saumon. Nouveaux pastiches et postiches,Umberto Eco,2000,LGF
0140620990,The Christmas Books (Penguin Popular Classics),Charles Dickens,1994,Penguin Books Ltd
2290336939,Les Voies d'Anubis,Tim Powers,2003,J'ai lu
0671685635,Ghost Story,Peter Straub,1989,Pocket
2277260029,Neverwhere,Neil Gaiman,1998,J'ai lu
2877302962,Bleu presque transparent,RyÃ?Â» Murakami,1999,Philippe Picquier
2846260346,ZÃ?Â©ro tuÃ?Â©s,RÃ?Â©gis De Sa Moreira,2002,Au Diable Vauvert
0143035002,Anna Karenina (Oprah's Book Club),Leo Tolstoy,2004,Penguin Books
0679749845,The Comfort of Strangers,Ian McEwan,1994,Anchor Books/Doubleday
156619024X,Jane Eyre,Charlotte Bronte,0,Barnes Noble Classics
342311892X,"Selim Oder Die Gabe Der Rede (Fiction, Poetry and Drama)",Nadolny,0,Deutscher Taschenbuch Verlag (DTV)
1569472475,Adrian Mole: The Cappuccino Years,Sue Townsend,2001,Soho Press
1587611198,"How to Be Happy, Dammit: A Cynic's Guide to Spiritual Happiness",Karen Salmansohn,2001,Celestial Arts
067003021X,Aunt Dimity: Detective (Aunt Dimity (Hardcover)),Nancy Atherton,2001,Viking Books
080503885X,The Queen's Man: A Medieval Mystery,Sharon Kay Penman,1996,Henry Holt &amp; Company
0891075275,Piercing the Darkness,Frank E. Peretti,1989,Crossway Books
0380791269,The Gilded Chain: : A Tale of the King's Blades (Tale of the King's Blades (Paperback)),Dave Duncan,1999,Eos
0345335902,Wizard of Oz (Oz),L. Frank Baum,1986,Del Rey Books
0671665790,"GHOST SHIP ST TRK (Star Trek the Next Generation, Book #2)",Diane Carey,1988,Star Trek
006092327X,Do Penguins Have Knees?,David Feldman,1992,Perennial
188886902X,The Medium Is the Massage: An Inventory of Effects,Marshall McLuhan,1996,Hardwired
0312381859,A History of Pi,Petr Beckmann,1976,St. Martin's Griffin
0201354934,"HTML 4 for the World Wide Web, Fourth Edition: Visual QuickStart Guide (4th Edition)",Elizabeth Castro,1999,Peachpit Press
0618154051,Unfinished Tales of Numenor and Middle-Earth,J.R.R. Tolkien,2001,Houghton Mifflin
0345426754,A Virtual Soul (del Rey Discovery),Kevin Teixeira,1999,Del Rey Books
0441008216,Heart of Gold,Sharon Shinn,2004,Ace Books
0812505549,"The Enchantments of Flesh and Spirit (Wraeththu, No 1)",Storm Constantine,1989,Tor Books (Mm)
0330328387,Way Through the Woods,Colin Dexter,0,Pan Books Ltd
033035034X,Death Is Now My Neighbour,Colin Dexter,1997,Pan Publishing
0425150127,Into the Fire,David Wiltse,1995,Berkley Publishing Group
0451139755,Pet Sematary,Stephen King,1985,New Amer Library
0061091987,The Bloody Ground (Starbuck Chronicles),Bernard Cornwell,1997,HarperTorch
0064471969,Shade's Children,Garth Nix,1998,Eos
0380798360,Declare,Tim Powers,2002,HarperTorch
0374419302,The Eagle of the Ninth,Rosemary Sutcliff,1993,"Farrar, Straus and Giroux (BYR)"
0142500135,Treasure at the Heart of the Tanglewood,Meredith Ann Pierce,2003,Puffin Books
0064473457,Castle in the Air,Diana Wynne Jones,2001,HarperTrophy
0061097349,The Flower Master,Sujata Massey,2000,HarperTorch
0142301515,"Crown Duel (Smith, Sherwood. Crown and Court Duet, Bk. 1-2.)",Sherwood Smith,2002,Puffin Books
006441034X,Howl's Moving Castle,Diana Wynne Jones,2001,HarperTrophy
0064473368,Dark Lord of Derkholm,Diana Wynne Jones,2001,HarperTrophy
0439221609,Crusader,Edward Bloor,2001,Scholastic
0140096825,Whats Bred In the Bone,Robertson Davies,0,Penguin Putnam~mass
0553256971,Dancing In the Light,Shirley MacLaine,1986,Bantam Doubleday Dell
0451191722,Talking to Heaven: A Medium's Message of Life After Death,James Van Praagh,1999,Signet Book
1580626548,"Zen and the Art of Knitting: Exploring the Links Between Knitting, Spirituality, and Creativity",Bernadette Murphy,2002,Adams Media Corporation
0679463046,Ghostwritten,David Mitchell,2000,Random House Trade
0060391782,Girlfriend in a Coma,Douglas Coupland,1998,ReganBooks
0451522222,Hunchback of Notre Dame,Victor Hugo,1965,Signet Classics
0671646141,GENEROUS DEATH,Nancy Pickard,1987,Pocket
0439087597,The Last Book in the Universe,Rodman Philbrick,2002,Scholastic Signature
044022859X,Holes (Readers Circle),LOUIS SACHAR,2001,Laurel Leaf
0486411095,Dracula (Dover Thrift Editions),Bram Stoker,2000,Dover Publications
0671019074,The Color Purple,Alice Walker,1998,Washington Square Press
0061091715,To Live and Die in Dixie (Callahan Garrity Mysteries (Paperback)),Kathy Hogan Trocheck,1994,Avon
0061092568,Homemade Sin (Callahan Garrity Mysteries (Paperback)),Kathy Hogan Trocheck,1995,Avon
0061098698,Irish Eyes : A Callahan Garrity Mystery (Callahan Garrity Mysteries (Paperback)),Kathy Hogan Trocheck,2001,Avon
0486277860,The Awakening (Dover Thrift Editions),Kate Chopin,1993,Dover Publications
0486266893,Candide (Dover Thrift Editions),Voltaire,1991,Dover Publications
0486268780,Selected Poems (Dover Thrift Editions),Walt Whitman,1991,Dover Publications
0486287769,Great Short Stories by American Women (Dover Thrift Editions),Candace Ward,1996,Dover Publications
0330415557,All American Girl,Meg Cabot,2003,Pan Macmillan
0758203004,Circle of Five,Dolores Stewart Riccio,2003,Kensington Publishing Corporation
0312981554,A Month At The Shore,Antoinette Stockenberg,2003,St. Martin's Paperbacks
0440219329,Both Sides of Time (Scholastic Classics),Caroline B. Cooney,1997,Laure Leaf
0440219337,Out of Time,Caroline B. Cooney,1997,Laurel-Leaf Books
0451208005,Land of Burning Heat: A Claire Reynier Mystery (Claire Reynier Mysteries),Judith Van Gieson,2003,Signet Book
0451207343,Taste of Honey: A Carson Springs Novel,Eileen Goudge,2003,Signet Book
0671002538,Mexican Hat (Kevin Kerney Novels (Paperback)),Michael McGarrity,1998,Pocket Star
0553278592,Sweet Revenge,NORA ROBERTS,1997,Bantam
0446611638,Lost Light,Michael Connelly,2004,Warner Vision
0312203578,Accidental Bride: A Romantic Comedy,Janice Harayda,1999,St Martins Pr
0156260255,The Diary of Anais Nin: Vol. 1 (1931-1934),Anais Nin,1969,Harvest Books
0375707239,Miss Wyoming (Vintage Contemporaries),Douglas Coupland,2001,Vintage Books USA
1573225797,Civilwarland in Bad Decline: Stories and a Novella,George Saunders,1997,Riverhead Books
0385315066,The Return Journey,Maeve Binchy,1998,Bantam Dell Pub Group
0002557029,Truth Is Out There the Official Guide to the X,Brian Lowry,0,Harpercollins Publisher
0140430229,Gulliver's Travels (Penguin Classics),Jonathan Swift,1967,Penguin Books
1560760699,"Kindred Spirits (Dragonlance: The Meetings Sextet, Vol. 1)",Mark Anthony,1991,Wizards of the Coast
0552999504,Unchained Melanie,Judy Astley,2002,Trafalgar Square
0749930527,Schrodingers Baby,H R Mcgregor,0,London Bridge
0099734508,The Worthing Waga,Orson Scott Card,1992,Time Warner Books UK
2264027134,Haute FidÃ?Â©litÃ?Â©,Nick Hornby,1999,Editions 10/18
2070381404,Contes Ã?Â  faire rougir les petits chaperons,Jean-Pierre Enard,1989,Gallimard
2020336553,Les Ã?Â©trangers sont nuls,Pierre Desproges,1998,Seuil
2290319872,Comment je suis devenu stupide,Martin Page,2003,J'ai lu
2266127896,Nouvelles chroniques tÃ?Â©lÃ?Â©,Guy Carlier,2003,Pocket
226402769X,La PissotiÃ?Â¨re,Collins,1999,Editions 10/18
0451411145,Cut and Run,Jeff Abbott,2003,Onyx Books
0451201256,Suspicion of Malice,Barbara Parker,2001,Signet Book
0743456173,Just the Way You Are,Christina Dodd,2003,Pocket
0452267307,Excellent Women,Barbara Pym,1988,Plume Books
1582430543,All New People: A Novel,Anne Lamott,2000,Counterpoint Press
1891830430,Blankets: An Illustrated Novel,Craig Thompson,2003,Top Shelf Productions
0872861562,The Most Beautiful Woman in Town and Other Stories,Charles Bukowski,1983,City Lights Publishers
0802134092,On Love,Alain de Botton,1995,Grove Press
1865085537,"Rule No. 5, No Sex on the Bus: Confessions of a Tour Leader",Brian Thacker,2002,Allen &amp; Unwin
093045250X,Swimming to Cambodia,Spalding Gray,1985,Theatre Communications Group
0679734481,Success,Martin Amis,1991,Vintage Books USA
038533351X,Bluebeard (Delta Fiction),KURT VONNEGUT,1998,Delta
0140621571,The Diary of a Nobody (Penguin Popular Classics),George Grossmith,1995,Penguin Books Ltd
0553571737,Under the Beetle's Cellar,Mary Willis Walker,1996,Bantam Books
0553273701,Out on a Limb,Shirley MacLaine,1986,Bantam
0671004271,The Evening Star,Larry McMurtry,1996,Pocket
0451403886,King Solomon's Carpet,Barbara Vine,1993,Onyx Books
0345331001,Texas Heat,Fern Michaels,1994,Ivy Books
0330320912,Awakenings,Oliver Sacks,0,Pan Books Ltd
1582341028,Bone in the Throat,Anthony Bourdain,2000,Bloomsbury Publishing PLC
0061007161,First Among Equals,Jeffrey Archer,1997,HarperTorch
0679760377,Jack Maggs,Peter Carey,1999,Vintage Books USA
0553574558,To Play the Fool,Laurie R. King,1996,Crimeline
0312290624,"Tom, Dick, and Debbie Harry",Jessica Adams,2002,Thomas Dunne Books
0679740538,Eve's Tattoo (Vintage Contemporaries),Emily Prager,1992,Vintage Books USA
0440945151,Killing Mr. Griffin (Laurel Leaf Books),Lois Duncan,1993,Laure Leaf
0061007145,The Prodigal Daughter,Jeffrey Archer,1993,HarperTorch
0060005548,Beyond Suspicion,James Grippando,2003,HarperTorch
000716226X,The Bride Stripped Bare : A Novel,Nikki Gemmell,2004,Fourth Estate
0671535323,FIRST KNIGHT : FIRST KNIGHT (Media Tie-in),Elizabeth Chadwick,1995,Pocket
0440194784,Welcome to the Monkey House,Kurt Vonnegut,1991,Dell Publishing Company
0553581503,The Cutout,Francine Mathews,2001,Bantam Books
0312206100,The Falls: An Inspector Rebus Novel,Ian Rankin,2001,St. Martin's Minotaur
0451411137,Men in Kilts,Katie Macalister,2003,Onyx Books
067945439X,Fugitive Pieces,Anne Michaels,1997,Alfred A. Knopf
0316803081,The Cliff Walk: A Memoir of a Job Lost and a Life Found,Don J. Snyder,1997,"Little, Brown"
0618095012,Hotel Honolulu,Paul Theroux,2001,Houghton Mifflin Company
0812576063,Irish Love (Nuala Anne McGrail Novels (Paperback)),Andrew M. Greeley,2002,Tor Books
0689828896,The Hoboken Chicken Emergency,Daniel Pinkwater,1999,Aladdin
0930289234,Watchmen,Alan Moore,1995,DC Comics
0312964781,A Price for Everything (Rosamunde Pilcher's Book Shelf),Mary Sheepshanks,1998,St. Martin's Press
0060936142,Mike Nelson's Mind over Matters,Michael J. Nelson,2002,Perennial Currents
0380814676,Mike Nelson's Movie Megacheese,Michael J. Nelson,2000,Perennial Currents
0893753467,White Fang,Jack London,1996,Dutton Books
0893753440,Call of the Wild (A Watermill Classic),Jack London,1987,Troll Communications
0893753564,Christmas Carol,Charles Dickens,1980,Troll Communications
0061096083,The Bestseller,Olivia Goldsmith,1997,HarperTorch
0671867318,SAHARA,Clive Cussler,1993,Pocket
0060936460,"The Bitch in the House: 26 Women Tell the Truth About Sex, Solitude, Work, Motherhood, and Marriage",Cathi Hanauer,2003,Perennial Currents
0375507493,What Should I Do with My Life?,PO BRONSON,2002,Random House
1585421065,Quarterlife Crisis: The Unique Challenges of Life in Your Twenties,Alexandra Robbins,2001,Penguin Putnam
0380795531,Looking for Lost Bird : A Jewish Woman Discovers Her Navajo Roots,Yvette Melanson,2000,Perennial
078688097X,Inner Simplicity : 100 Ways to Regain Peace and Nourish Your Souls,Elaine St. James,1995,Hyperion
0446601543,Deadly Innocence (New Comprehensive Biochemistry),Alan Cairns,1995,Warner Books
0451179153,Violation,Darian North,1999,Signet Book
0061013412,Orchid Beach (Holly Barker Novels (Paperback)),Stuart Woods,1999,HarperTorch
0061051578,The Fifth Elephant: A Novel of Discworld,Terry Pratchett,2000,HarperCollins Publishers
0671727125,Aliens Ate My Homework,Bruce Coville,1993,Aladdin
0785211578,Where To Find It In The Bible The Ultimate A To Z Resource Series,Ken Anderson,1996,Nelson Reference
0345387554,The Horse You Came In On,Martha Grimes,1996,Ballantine Books
0505525275,The Loving Daylights,Lynsay Sands,2003,Love Spell
0345379667,Travels,Michael Crichton,1993,Ballantine Books
0399128298,As a Man Thinketh (Family Inspirational Library),James Allen,1955,Putnam Publishing Group
0060160713,The Broken Cord: A Family's Ongoing Struggle With Fetal Alcohol Syndrome,Michael Dorris,1989,Harpercollins
0330330276,English Patient,Michael Ondaatje,0,Pan Books Ltd
0449207552,Break in,Dick Francis,1997,Fawcett Books
0440235391,Darkest Fear,HARLAN COBEN,2001,Dell
0006547613,Involved,Kate Oriordan,0,Flamingo
0449221148,High Stakes,Dick Francis,1993,Fawcett Books
0061056022,Cat Raise the Dead : A Joe Grey Mystery,Shirley Rousseau Murphy,1997,Avon
0785717544,The Catswold Portal,Shirley Rousseau Murphy,1999,Bt Bound
0743436679,The Bone Vault,Linda Fairstein,2003,Pocket Star
0393313166,Testimonies,Patrick O'Brian,1995,W. W. Norton &amp; Company
0345455207,Utopia,LINCOLN CHILD,2003,Fawcett
0812507738,The Night of Four Hundred Rabbits,Elizabeth Peters,1996,Tor Books
0380731215,Street of the Five Moons (A Vicky Bliss Mystery),Elizabeth Peters,2000,Avon
0380977427,"Quicksilver : Volume One of The Baroque Cycle (Stephenson, Neal. Baroque Cycle, V. 1.)",Neal Stephenson,2003,William Morrow
0671578987,The ROYALS  CASSETTE,Kitty Kelley,1997,Audioworks
1400032237,Searching for Hassan: A Journey to the Heart of Iran,Terence Ward,2003,Anchor Books/Doubleday
0743500504,The Carousel,Richard Paul Evans,2000,Audioworks
0671026852,Savannah (Springwater Seasons),Linda Lael Miller,1999,Pocket
0451208862,Dead Girls Don't Wear Diamonds (Blackbird Sisters Mysteries),Nancy Martin,2003,Signet Book
038081191X,Nightmare in Shining Armor : A Den of Antiquity Mystery (Den of Antiquity),Tamar Myers,2001,Avon
0380819643,Splendor in the Glass : A Den of Antiquity Mystery (Den of Antiquity),Tamar Myers,2002,Avon
0451203224,The Crepes of Wrath (Pennsylvania Dutch Mysteries with Recipes (Paperback)),Tamar Myers,2002,Signet Book
0684850265,The Fall Of A Sparrow : A NOVEL,Robert Hellenga,1998,Scribner
0688048307,Big Secrets,William Poundstone,1985,Perennial Currents
0373511892,Dreamscapes: Waiting for the Wolf Moon,Evelyn Vaughn,2002,Silhouette
0452284457,The Virgin's Knot,Holly Payne,2003,Plume Books
0373484577,The Great Montana Cowboy Auction,Anne Mcallister,2002,Silhouette
0743451414,"Sin Killer : The Berrybender Narrative, Book 1",Larry McMurtry,2003,Pocket Star
014006110X,Waiting for the Barbarians,J.M. Coetzee,1982,Penguin Books
0140074481,Life and Times of Michael K,J. M. Coetzee,1995,Penguin Books
1841953288,The Hundred and Ninety-nine Steps,Michel Faber,2002,Canongate Books Ltd
0380817187,Dim Sum Dead : A Madeline Bean Culinary Mystery (Madeline Bean Catering Mysteries),Jerrilyn Farmer,2001,Avon
0743448944,Mount Vernon Love Story : A Novel of George and Martha Washington,Mary Higgins Clark,2003,Pocket
0449003655,Thale's Folly,Dorothy Gilman,2000,Ballantine Books
0375422307,Persepolis : The Story of a Childhood (Alex Awards (Awards)),MARJANE SATRAPI,2003,Pantheon
0399145990,The River King,Alice Hoffman,2000,Putnam Publishing Group
0385483732,Foreign Correspondence,Geraldine Brooks,1999,Anchor Books/Doubleday
0878575782,"Rodale's Book of Hints, Tips &amp; Everyday Wisdom",Carol Hupping,1985,St Martins Pr
0312868758,The Bishop and The Missing L Train: A Bishop Blackie Ryan Novel,Andrew M. Greeley,2000,St Martins Pr
0515133701,The Perfect Victim,Linda Castillo,2002,Jove Books
067091021X,Year of Wonders: A Novel of the Plague,Geraldine Brooks,2001,Viking Books
0679767851,Coming Through Slaughter,Michael Ondaatje,1996,Vintage Books USA
0553348477,Ecotopia,ERNEST CALLENBACH,1990,Bantam
0373707843,"Father:  Unknown (9 Months Later) (Harlequin Superromance, No 784)",Tara Taylor Quinn,1998,Harlequin
042517400X,"Night Moves (Tom Clancy's Net Force, No. 3)",Tom Clancy,2000,Berkley Publishing Group
0842332294,Desecration: Antichrist Takes the Throne (Left Behind No. 9),Tim LaHaye,2002,Tyndale House Publishers
0446600792,Twilight Whispers,Barbara Delinsky,1994,Warner Books
1573220221,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1996,Riverhead Books
0312982143,Open Secrets (St. Martin's True Crime Library),Carlton Stowers,2002,St. Martin's True Crime
0425184234,A Small Death in Lisbon,Robert Wilson,2002,Berkley Publishing Group
0446324825,Audrey Rose,Frank De Felitta,1984,Warner Books
0060931396,"Alas, Babylon (Perennial Classics)",Pat Frank,1999,Perennial Classics
0425183769,Line of Vision,David Ellis,2002,Berkley Publishing Group
0061097500,Katastrophe,Randall Boyll,2001,Avon Books
0671787454,The Girls He Adored,Jonathan Nasaw,2002,Pocket Star
1580628362,Please Stop Laughing at Me: One Woman's Inspirational Story,Jodee Blanco,2003,Adams Media Corporation
0451198514,Stealing Faces,Michael Prescott,1999,Signet Book
0451409000,Messiah,Boris Starling,1999,Onyx Books
0451192508,Comes the Dark,Michael Prescott,1999,Signet Book
0345359828,The Last Ship: A Novel,William Brinkley,1990,Ballantine Books
0425188132,"State of War (Tom Clancy's Net Force, No. 7)",Steve Perry,2003,Berkley Publishing Group
067101532X,The Doublet Affair (Mystery at Queen Elizabeth I's Court (Paperback)),Fiona Buckley,1999,Pocket
0345440633,Dave Barry's Complete Guide to Guys,Dave Barry,2000,Ballantine Books
0060177349,Star Trek Memories,William Shatner,1993,Harpercollins
0446364266,French Silk,Sandra Brown,1993,Warner Books
0091831032,The last time I saw mother,Arlene J Chai,1995,Random House Australia
0679436146,Good Benito,Alan Lightman,1995,Random House Inc
0425178285,The Barbarians Are Coming,David Wong Louie,2001,Berkley Publishing Group
0449217213,Incident at Badamya,Dorothy Gilman,1995,Fawcett Books
0449216284,Uncertain Voyage,Dorothy Gilman,1990,Fawcett Books
0440139244,I Am the Only Running Footman,Martha Grimes,1990,Dell Publishing Company
0385721676,Oryx and Crake,MARGARET ATWOOD,2004,Anchor
006054094X,1421 : The Year China Discovered America,Gavin Menzies,2004,Perennial
0440415632,The Cricket in Times Square (Newbery Winners for Microcomputers),George Selden,1970,Random House Children's Books
0449004287,Polite Lies: On Being a Woman Caught Between Cultures,Kyoko Mori,1999,Ballantine Books
1558745432,A 5th Portion of Chicken Soup for the Soul : 101 Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1998,Health Communications
0440228654,Chinese Cinderella: The True Story of an Unwanted Daughter (Laurel-Leaf Books),Adeline Yen Mah,2001,Laurel-Leaf Books
0671874330,Life After God,Douglas Coupland,1994,Pocket Books
0345423399,A Kiss of Shadows (Meredith Gentry Novels (Hardcover)),LAURELL K. HAMILTON,2000,Del Rey
0811824829,52 Deck Series: 52 Ways to Celebrate Friendship,Lynn Gordon,2000,Chronicle Books
0449223604,M Is for Malice,Sue Grafton,1998,Fawcett Books
0425131769,Vital Signs,Robin Cook,2001,Berkley Publishing Group
0312132204,The Year's Best Fantasy and Horror: Eighth Annual Collection,Ellen Datlow,1995,St Martins Pr
0894805002,Barlowe's guide to extraterrestrials,Wayne Douglas Barlowe,1987,Workman Pub
1570715165,The Lover's Companion: Romantic Inspiration &amp; Creative Ideas,Gregory J. P. Godek,2000,Casablanca Press
0684859300,Change Your Life Without Getting Out of Bed : The Ultimate Nap Book,Sark,1999,Fireside
0749918241,Clear Your Clutter and Feng Shui Your Life,Karen Kingston,1998,Judy Piatkus Publishers Ltd
0571139493,Illywhacker,Peter Carey,0,Faber Faber Inc
0868246786,Zigzag Street ;,Nick Earls,1997,Anchor
0062511653,The Pregnant Woman's Comfort Book : Self-Nurturing Guide to Your Emotional Well-Being During Pregnancy and Early Mot,Jennifer Louden,1995,HarperSanFrancisco
0140008535,The Harp in the South,Ruth Park,1987,Penguin USA
193212800X,Crossing Over,John Edward,2002,Princess Books
006621341X,A Woman Betrayed,Barbara Delinsky,2001,William Morrow &amp; Company
2070366073,Les Mots,Paul Jean Sartre,1970,Schoenhof Foreign Books Inc
0553295608,A Suitable Vengeance,ELIZABETH GEORGE,1992,Bantam
0446353256,Trump: The Art of the Deal,Donald J. Trump,1989,Warner Books
0671868365,TRUTH OR DARE (FEAR STREET ) : TRUTH OR DARE,R.L. Stine,1995,Simon Pulse
3746618843,Die leichten Schritte des Wahnsinns.,Polina Daschkowa,2002,Aufbau Tb
